Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"6,152","7,109","8,439","11,323","10,925","11,873","12,550","17,119","20,852","26,711","30,475","38,736"
Expenses+,"2,250","2,532","3,021","4,166","4,330","5,926","3,862","7,591","9,905","11,121","12,054","15,868"
Operating Profit,"3,902","4,577","5,418","7,157","6,596","5,947","8,688","9,528","10,947","15,589","18,421","22,868"
OPM %,63%,64%,64%,63%,60%,50%,69%,56%,52%,58%,60%,59%
Other Income+,686,730,"1,037",844,"1,289","1,928","1,967","1,832",327,671,"1,800","2,152"
Interest,"1,175","1,124","1,116","1,579","1,385","1,951","2,255","2,544","2,363","2,733","2,813","4,654"
Depreciation,912,"1,063","1,160","1,188","1,373","1,680","2,107","3,099","3,425","3,888","4,379","5,517"
Profit before tax,"2,501","3,119","4,179","5,234","5,126","4,244","6,292","5,717","5,487","9,639","13,030","14,849"
Tax %,7%,9%,7%,30%,21%,11%,20%,13%,2%,16%,15%,14%
Net Profit+,"2,324","2,856","3,902","3,690","4,045","3,785","5,049","4,953","5,391","8,104","11,061","12,782"
EPS in Rs,11.18,13.99,18.89,17.74,19.27,18.52,24.58,23.13,24.58,37.55,51.35,55.58
Dividend Payout %,10%,8%,7%,11%,1%,17%,20%,22%,20%,16%,14%,13%
