Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"5,797","6,248","6,646","6,920","6,896","7,560","7,067","7,964","8,488","9,126","9,167","9,705","10,738"
Expenses+,"2,526","2,558","2,982","2,724","2,887","2,820","2,700","3,161","3,482","3,631","3,827","3,919","4,718"
Operating Profit,"3,271","3,689","3,664","4,196","4,009","4,739","4,367","4,802","5,006","5,495","5,340","5,786","6,020"
OPM %,56%,59%,55%,61%,58%,63%,62%,60%,59%,60%,58%,60%,56%
Other Income+,-885,384,351,507,-70,349,254,247,426,453,837,189,900
Interest,623,633,520,976,619,484,659,923,715,846,"1,223",980,"1,605"
Depreciation,846,950,974,985,979,"1,012","1,077","1,106","1,185","1,255","1,264","1,384","1,615"
Profit before tax,917,"2,491","2,521","2,741","2,341","3,593","2,885","3,020","3,532","3,848","3,690","3,611","3,700"
Tax %,-24%,15%,30%,19%,14%,14%,16%,17%,14%,14%,15%,16%,11%
Net Profit+,"1,139","2,119","1,762","2,208","2,015","3,107","2,413","2,518","3,023","3,311","3,120","3,043","3,308"
EPS in Rs,5.36,9.79,8.09,10.22,9.44,14.41,11.32,11.67,13.95,15.34,14.39,13.25,14.45
Raw PDF,,,,,,,,,,,,,
