Metric,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,333,349,403,417,431,460,487,499,530,564
Expenses+,244,241,300,310,316,329,360,363,386,403
Operating Profit,89,108,104,107,115,131,128,136,144,161
OPM %,27%,31%,26%,26%,27%,28%,26%,27%,27%,29%
Other Income+,12,20,6,12,13,13,13,8,11,14
Interest,22,27,27,28,28,25,25,23,21,22
Depreciation,43,47,56,57,58,60,63,68,69,77
Profit before tax,36,54,27,33,41,59,54,54,65,77
Tax %,37%,24%,33%,36%,31%,27%,29%,32%,33%,35%
Net Profit+,23,41,18,21,28,43,38,36,44,50
EPS in Rs,,,,,0.72,1.03,0.95,0.94,1.07,1.25
Raw PDF,,,,,,,,,,
