Metric,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,339,525,498,483,540,550,423,611
Expenses+,218,330,338,288,349,332,266,344
Operating Profit,121,195,160,195,191,218,157,267
OPM %,36%,37%,32%,40%,35%,40%,37%,44%
Other Income+,19,28,24,14,23,48,8,52
Interest,4,4,3,1,2,3,0,2
Depreciation,19,20,20,30,26,34,35,40
Profit before tax,118,200,161,178,186,230,130,278
Tax %,30%,19%,23%,54%,27%,24%,29%,32%
Net Profit+,82,162,124,83,136,173,93,190
EPS in Rs,1.47,2.90,2.22,1.48,2.42,3.09,1.65,3.38
Raw PDF,,,,,,,,
