Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"1,129","1,087","1,374","1,719","1,875","1,696","3,038","4,378","4,472","4,986","5,864"
Expenses+,921,809,"1,008","1,264","1,280",991,"2,265","3,508","3,368","3,849","4,675"
Operating Profit,208,278,366,455,595,704,773,870,"1,104","1,137","1,188"
OPM %,18%,26%,27%,26%,32%,42%,25%,20%,25%,23%,20%
Other Income+,26,-22,80,59,44,30,42,37,47,30,37
Interest,43,44,125,90,41,40,53,79,111,100,129
Depreciation,52,56,61,67,51,63,83,113,157,198,233
Profit before tax,138,156,259,357,547,631,679,716,882,868,863
Tax %,41%,35%,36%,36%,20%,25%,26%,26%,26%,25%,26%
Net Profit+,81,101,165,229,436,472,505,530,653,648,637
EPS in Rs,3.17,3.94,6.41,2.08,3.97,4.29,4.59,4.82,5.94,5.89,5.79
Dividend Payout %,54%,0%,0%,12%,6%,6%,5%,5%,4%,4%,4%
