Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,115","1,056","1,096","1,156","1,167","1,145","1,219","1,294","1,341","1,379","1,451","1,507","1,557"
Expenses+,926,808,816,868,879,851,913,"1,030","1,075","1,085","1,156","1,202","1,256"
Operating Profit,189,248,280,288,288,295,306,265,266,293,295,305,301
OPM %,17%,23%,26%,25%,25%,26%,25%,20%,20%,21%,20%,20%,19%
Other Income+,9,10,15,18,19,9,16,8,14,12,12,12,24
Interest,32,24,27,31,29,26,23,27,24,28,26,41,35
Depreciation,31,33,38,39,49,46,51,53,53,56,62,62,63
Profit before tax,136,201,230,236,229,232,247,192,204,222,219,214,227
Tax %,28%,25%,25%,25%,27%,26%,25%,26%,24%,26%,25%,26%,26%
Net Profit+,98,150,173,177,168,172,186,142,155,165,163,159,168
EPS in Rs,0.89,1.37,1.57,1.61,1.53,1.56,1.69,1.29,1.41,1.50,1.49,1.44,1.53
Raw PDF,,,,,,,,,,,,,
