Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"2,637","2,595","2,834","3,514","4,038","4,093","3,731","5,081","5,428","4,726","5,583","6,274"
Expenses+,"2,235","2,134","2,324","3,008","3,270","3,191","2,813","4,168","4,620","4,086","4,665","5,243"
Operating Profit,402,461,510,505,768,902,918,913,807,639,918,"1,031"
OPM %,15%,18%,18%,14%,19%,22%,25%,18%,15%,14%,16%,16%
Other Income+,9,37,57,30,38,83,109,82,86,65,115,209
Interest,26,28,25,13,7,9,9,9,8,11,24,17
Depreciation,60,66,95,110,119,130,136,177,198,243,317,322
Profit before tax,326,404,446,412,680,845,882,810,688,451,692,900
Tax %,31%,32%,28%,32%,36%,21%,25%,25%,26%,28%,28%,23%
Net Profit+,240,274,323,281,436,671,660,605,507,324,499,689
EPS in Rs,81.13,92.44,108.88,93.21,145.72,224.69,221.64,204.23,174.19,109.71,164.37,230.25
Dividend Payout %,10%,9%,9%,13%,10%,12%,9%,12%,19%,18%,15%,13%
