Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,524,470,842,420,431,435,457,484,522,"1,702",739,"1,070"
Expenses+,40,42,215,65,85,134,106,117,142,140,180,162
Operating Profit,484,429,628,355,347,301,352,367,380,"1,562",559,907
OPM %,92%,91%,75%,85%,80%,69%,77%,76%,73%,92%,76%,85%
Other Income+,35,7,8,"2,390","2,827","3,058","3,451","3,896","4,673","5,967","6,224","9,182"
Interest,0,0,0,0,0,13,4,3,7,2,1,1
Depreciation,6,5,5,5,4,33,34,34,34,34,34,32
Profit before tax,513,430,630,"2,739","3,170","3,314","3,766","4,226","5,012","7,493","6,748","10,057"
Tax %,19%,21%,21%,3%,4%,7%,3%,2%,1%,2%,2%,3%
Net Profit+,"2,029","2,265","2,473","2,655","3,048","3,080","3,654","4,126","4,946","7,365","6,626","9,789"
EPS in Rs,182.33,203.54,222.22,238.54,273.90,268.84,327.95,364.41,435.83,652.98,585.90,865.89
Dividend Payout %,19%,16%,15%,17%,12%,15%,12%,32%,28%,20%,16%,23%
