Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"4,268","4,523","4,492","4,665","5,189","5,536","5,500","5,479","5,434","5,476","5,354","5,431","5,428"
Interest,"1,796","2,032","2,049","2,140","2,330","2,531","2,566","2,664","2,678","2,718","2,765","2,743","2,633"
Expenses+,"2,040","1,916","2,036","2,099","3,496","2,115","2,294","3,281","3,144","2,962","2,977","3,089","2,802"
Financing Profit,432,575,407,426,-637,890,640,-466,-388,-204,-389,-401,-7
Financing Margin %,10%,13%,9%,9%,-12%,16%,12%,-9%,-7%,-4%,-7%,-7%,-0%
Other Income+,629,385,540,545,701,528,609,"1,112",700,726,546,691,771
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,"1,061",960,947,971,64,"1,418","1,249",645,311,521,158,290,764
Tax %,24%,25%,24%,25%,15%,25%,25%,34%,-2%,29%,29%,29%,30%
Net Profit+,808,721,721,733,55,"1,063",937,426,318,372,112,206,534
EPS in Rs,5.02,4.48,4.48,4.55,0.34,6.60,5.82,2.65,1.97,2.31,0.69,1.28,3.32
Gross NPA %,4.87%,6.76%,7.32%,7.02%,3.84%,4.23%,4.68%,4.68%,4.71%,4.96%,5.02%,3.33%,3.27%
Net NPA %,1.17%,2.18%,2.32%,2.21%,1.11%,1.15%,1.29%,1.28%,1.28%,1.36%,1.37%,0.99%,0.97%
Raw PDF,,,,,,,,,,,,,
