Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"27,196","28,003","29,263","30,042","31,072","31,143","31,902","32,570","32,820","32,866","33,318","33,600","34,514"
Interest,"14,790","16,060","17,528","18,002","18,309","18,582","19,266","20,143","20,273","20,307","20,191","20,586","20,776"
Expenses+,"10,642","11,040","12,216","10,556","12,269","10,879","12,755","10,654","12,712","12,928","11,548","12,390","13,155"
Financing Profit,"1,764",902,-480,"1,484",494,"1,682",-119,"1,772",-165,-368,"1,579",624,582
Financing Margin %,6%,3%,-2%,5%,2%,5%,-0%,5%,-0%,-1%,5%,2%,2%
Other Income+,"5,332","5,316","6,503","5,042","6,538","4,658","7,553","5,163","7,076","5,538","5,116","6,399","5,474"
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,"7,096","6,217","6,023","6,526","7,033","6,340","7,434","6,935","6,911","5,170","6,695","7,024","6,057"
Tax %,28%,31%,28%,27%,29%,28%,27%,26%,23%,35%,24%,23%,7%
Net Profit+,"5,315","4,468","4,426","4,815","5,160","4,764","5,405","5,250","5,447","3,517","5,181","5,501","5,872"
EPS in Rs,10.16,8.61,8.50,9.26,9.92,9.14,10.36,10.08,10.48,6.71,9.93,10.53,11.22
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
