Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,682","1,571","1,574","1,655","1,480","1,423","1,497","1,502","1,545","1,387","1,585","1,660","1,691"
Expenses+,"1,585","1,484","1,476","1,541","1,355","1,309","1,365","1,368","1,402","1,282","1,442","1,513","1,534"
Operating Profit,97,87,99,114,125,115,133,134,143,105,143,147,157
OPM %,6%,6%,6%,7%,8%,8%,9%,9%,9%,8%,9%,9%,9%
Other Income+,-13,-2,-5,2,-8,-14,-17,-12,-10,1,-13,-21,-5
Interest,34,33,32,36,40,34,32,31,47,34,39,40,45
Depreciation,31,28,29,28,29,26,28,31,28,27,29,30,31
Profit before tax,19,24,33,52,47,40,55,59,58,45,61,57,76
Tax %,-19%,2%,4%,21%,13%,8%,6%,5%,-5%,-5%,9%,12%,15%
Net Profit+,23,24,32,41,41,37,51,56,60,47,56,50,65
EPS in Rs,1.38,1.43,1.90,2.43,2.43,2.21,3.04,3.31,3.57,2.79,3.27,2.92,3.65
Raw PDF,,,,,,,,,,,,,
