Metric,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,526","1,781","2,069","2,167","2,274","2,262","2,354","2,341","2,553"
Expenses+,"1,348","1,541","1,825","1,905","1,998","1,982","2,057","2,054","2,263"
Operating Profit,179,240,243,262,276,281,296,287,290
OPM %,12%,13%,12%,12%,12%,12%,13%,12%,11%
Other Income+,4,9,13,29,10,29,27,27,21
Interest,69,77,89,77,64,80,56,50,46
Depreciation,89,83,81,83,83,90,87,93,92
Profit before tax,25,89,86,131,139,140,181,171,174
Tax %,35%,20%,15%,23%,21%,20%,26%,29%,25%
Net Profit+,16,72,73,101,110,112,133,122,130
EPS in Rs,0.25,1.10,1.13,1.55,1.69,1.26,1.49,1.37,1.46
Raw PDF,,,,,,,,,
