Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"3,629","3,877","3,774","3,866","4,164","4,106","3,689","3,476","3,853","3,909","4,032","4,343","4,528"
Expenses+,"3,191","3,282","3,153","3,169","3,521","3,365","3,042","2,853","3,174","3,239","3,308","3,597","3,751"
Operating Profit,438,595,621,698,643,741,647,623,679,670,724,746,777
OPM %,12%,15%,16%,18%,15%,18%,18%,18%,18%,17%,18%,17%,17%
Other Income+,17,67,51,58,45,-99,62,38,57,50,54,-13,-46
Interest,97,114,124,137,116,124,110,96,88,82,80,77,84
Depreciation,181,206,211,224,207,218,213,218,224,226,241,249,255
Profit before tax,177,341,337,395,366,300,385,347,424,411,457,407,392
Tax %,28%,37%,36%,36%,38%,42%,37%,39%,33%,31%,34%,33%,40%
Net Profit+,128,214,215,254,227,175,243,213,283,284,299,273,233
EPS in Rs,2.91,4.80,4.88,5.68,5.07,4.36,5.23,4.45,5.90,5.93,6.26,5.53,4.86
Raw PDF,,,,,,,,,,,,,
