Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"8,227","5,003","5,125","5,504","8,260","5,485","6,584","7,277","8,993","5,487","7,512","8,473","12,310"
Expenses+,"7,178","5,182","5,279","5,287","7,532","5,654","6,309","6,973","8,162","6,024","6,931","7,928","10,557"
Operating Profit,"1,049",-178,-154,217,728,-169,275,304,832,-537,581,545,"1,753"
OPM %,13%,-4%,-3%,4%,9%,-3%,4%,4%,9%,-10%,8%,6%,14%
Other Income+,125,130,192,118,170,111,128,126,159,185,189,235,260
Interest,161,168,180,190,193,162,201,184,201,181,195,182,198
Depreciation,73,60,60,61,68,59,60,68,85,75,75,78,88
Profit before tax,940,-276,-202,84,636,-279,141,179,704,-608,499,520,"1,728"
Tax %,30%,-26%,-69%,29%,23%,-24%,25%,25%,28%,-25%,25%,25%,25%
Net Profit+,658,-205,-63,60,490,-211,106,135,504,-456,375,390,"1,290"
EPS in Rs,1.89,-0.59,-0.18,0.17,1.41,-0.61,0.30,0.39,1.45,-1.31,1.08,1.12,3.71
Raw PDF,,,,,,,,,,,,,
