Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,468,550,610,781,901,"1,075","1,308","1,599","1,944","2,295","2,537","2,817"
Expenses+,419,487,536,681,808,980,"1,163","1,456","1,732","1,900","2,199","2,402"
Operating Profit,49,63,73,100,93,94,145,142,212,395,338,415
OPM %,10%,11%,12%,13%,10%,9%,11%,9%,11%,17%,13%,15%
Other Income+,1,2,3,3,10,8,11,10,22,26,29,32
Interest,-4,0,0,5,4,6,3,7,9,9,11,12
Depreciation,6,7,12,17,22,34,33,37,45,56,69,73
Profit before tax,48,58,64,82,76,62,120,109,181,356,286,362
Tax %,33%,29%,32%,36%,33%,11%,25%,27%,23%,24%,26%,26%
Net Profit+,32,41,44,53,51,55,90,80,138,270,212,269
EPS in Rs,13.75,17.68,18.76,22.63,20.98,22.82,36.91,3.20,5.55,10.77,8.48,10.73
Dividend Payout %,15%,11%,11%,9%,10%,9%,5%,3%,14%,9%,12%,12%
