Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,462,482,609,624,614,572,721,715,611,653,830,790,721
Expenses+,400,416,521,549,453,480,614,659,537,556,702,692,633
Operating Profit,62,66,88,75,161,92,107,55,74,96,128,98,88
OPM %,13%,14%,14%,12%,26%,16%,15%,8%,12%,15%,15%,12%,12%
Other Income+,5,6,6,6,12,7,8,8,10,10,8,11,18
Interest,3,2,3,3,3,3,3,4,5,5,5,4,4
Depreciation,12,13,16,16,15,18,19,21,25,23,24,24,24
Profit before tax,51,56,75,62,155,78,93,39,55,79,107,82,77
Tax %,26%,26%,20%,26%,25%,26%,26%,28%,27%,26%,28%,24%,28%
Net Profit+,38,41,60,46,116,58,69,28,40,59,78,62,56
EPS in Rs,1.51,1.67,2.45,1.86,4.64,2.33,2.76,1.14,1.78,2.39,3.18,2.48,2.25
Raw PDF,,,,,,,,,,,,,
