Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"3,210","3,268","4,348","5,730","6,549","6,916","6,785","7,461","8,682","9,656","9,214","9,656"
Expenses+,"2,908","2,982","3,724","4,922","5,600","5,569","5,434","6,351","7,898","8,216","7,994","8,201"
Operating Profit,302,286,624,808,949,"1,347","1,352","1,110",785,"1,440","1,221","1,454"
OPM %,9%,9%,14%,14%,14%,19%,20%,15%,9%,15%,13%,15%
Other Income+,143,146,139,62,78,74,28,67,107,90,56,110
Interest,78,82,277,378,371,388,296,243,339,372,327,264
Depreciation,154,149,256,332,339,352,371,397,510,578,572,532
Profit before tax,213,201,230,160,317,682,713,538,43,580,378,769
Tax %,18%,17%,5%,4%,19%,26%,12%,26%,6%,27%,22%,27%
Net Profit+,175,168,219,154,256,505,630,399,40,421,295,558
EPS in Rs,22.76,21.78,28.50,19.99,33.20,65.60,81.83,51.76,5.26,54.61,38.34,72.41
Dividend Payout %,26%,28%,23%,33%,23%,11%,12%,19%,48%,18%,26%,17%
