Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,903","1,874","2,002","1,979","2,192","2,228","2,413","2,516","2,753","2,878","2,923","3,175","3,442"
Expenses+,"1,627","1,609","1,693","1,718","1,908","1,900","2,118","2,185","2,406","2,497","2,546","2,778","2,975"
Operating Profit,275,265,309,261,284,327,295,331,347,381,377,397,466
OPM %,14%,14%,15%,13%,13%,15%,12%,13%,13%,13%,13%,13%,14%
Other Income+,199,29,43,579,42,33,29,34,71,28,66,41,79
Interest,2,1,0,1,1,1,2,1,3,2,3,4,4
Depreciation,25,24,23,24,24,24,28,28,32,44,52,51,49
Profit before tax,447,270,329,816,301,336,294,335,384,364,388,384,492
Tax %,5%,24%,26%,8%,22%,28%,25%,29%,29%,27%,27%,26%,26%
Net Profit+,426,204,242,748,234,241,220,238,274,267,284,284,363
EPS in Rs,2.79,1.33,1.59,4.89,1.53,1.58,1.45,1.57,1.78,1.76,1.82,1.81,2.32
Raw PDF,,,,,,,,,,,,,
