Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"5,186","5,626","6,317","6,795","7,066","7,633","8,090","8,489","8,913","9,296","9,461","9,949","10,366"
Interest,"1,743","2,013","2,209","2,445","2,582","2,796","3,058","3,280","3,361","3,468","3,518","3,648","3,755"
Expenses+,"2,244","2,588","2,898","2,978","2,932","3,253","3,537","3,772","3,709","4,142","4,359","4,487","4,541"
Financing Profit,"1,199","1,025","1,210","1,371","1,552","1,584","1,496","1,438","1,843","1,687","1,585","1,814","2,070"
Financing Margin %,23%,18%,19%,20%,22%,21%,18%,17%,21%,18%,17%,18%,20%
Other Income+,97,89,55,48,110,45,91,106,98,88,130,137,156
Depreciation,50,52,52,55,88,70,74,72,79,79,83,87,84
Profit before tax,"1,246","1,062","1,213","1,363","1,574","1,559","1,513","1,471","1,862","1,696","1,632","1,863","2,142"
Tax %,28%,25%,27%,25%,27%,26%,26%,26%,27%,26%,26%,26%,24%
Net Profit+,901,792,888,"1,027","1,144","1,160","1,125","1,093","1,362","1,260","1,214","1,386","1,626"
EPS in Rs,21.72,19.78,22.41,24.88,27.32,29.20,27.99,25.89,32.68,30.81,29.29,33.32,36.59
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
