Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,184","1,923","2,195","2,211","2,325","2,103","2,288","2,208","2,288","2,154","2,355","2,308","2,263"
Expenses+,"1,733","1,527","1,648","1,693","1,827","1,662","1,706","1,743","1,847","1,721","1,779","1,793","1,836"
Operating Profit,451,396,546,517,498,442,582,465,441,433,576,514,427
OPM %,21%,21%,25%,23%,21%,21%,25%,21%,19%,20%,24%,22%,19%
Other Income+,94,81,105,92,93,94,96,96,129,95,88,92,89
Interest,17,16,17,19,20,19,19,18,17,17,19,20,21
Depreciation,158,142,153,159,165,169,166,85,160,162,147,154,153
Profit before tax,371,319,482,431,406,347,493,457,392,349,498,433,342
Tax %,26%,24%,25%,24%,26%,25%,25%,26%,27%,26%,26%,24%,24%
Net Profit+,279,245,368,331,318,259,366,367,300,267,380,335,264
EPS in Rs,3.66,3.22,4.82,4.34,4.16,3.39,4.80,4.81,3.94,3.50,4.97,4.38,3.45
Raw PDF,,,,,,,,,,,,,
