Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,0,"1,783","3,901","4,080","4,479","4,512","4,750","5,373","5,809","6,388","7,028","7,193"
Expenses+,3,"1,574","3,416","3,549","3,893","3,915","4,045","4,612","5,138","5,700","6,209","6,447"
Operating Profit,-3,209,485,531,586,597,705,761,671,689,819,746
OPM %,,12%,12%,13%,13%,13%,15%,14%,12%,11%,12%,10%
Other Income+,0,-10,17,31,48,59,76,80,80,60,63,-692
Interest,0,35,66,64,60,41,43,35,103,73,43,42
Depreciation,0,6,11,13,13,27,30,42,54,65,84,102
Profit before tax,-3,158,425,485,562,588,708,763,594,611,756,-91
Tax %,-35%,33%,33%,33%,28%,16%,15%,22%,20%,24%,25%,168%
Net Profit+,-2,105,283,324,403,495,605,593,476,466,563,-243
EPS in Rs,-74.80,1.68,4.52,5.17,6.42,7.89,9.63,9.37,7.48,7.25,8.75,-3.78
Dividend Payout %,0%,0%,33%,34%,31%,0%,57%,27%,40%,41%,34%,-79%
