Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"3,915","3,627","3,153","3,604","4,307","3,621","3,087","3,181","4,091","3,636","3,417","3,506","4,245"
Expenses+,"3,205","3,014","2,560","2,825","3,653","2,952","2,653","2,670","3,298","2,753","2,721","2,904","3,343"
Operating Profit,710,613,593,779,654,669,434,511,793,883,696,602,902
OPM %,18%,17%,19%,22%,15%,18%,14%,16%,19%,24%,20%,17%,21%
Other Income+,424,54,80,60,120,-63,73,37,93,65,66,30,34
Interest,64,83,101,108,94,95,98,101,105,108,122,118,132
Depreciation,336,399,401,370,328,317,336,364,314,322,322,340,365
Profit before tax,734,185,171,361,352,194,73,83,467,518,318,174,439
Tax %,17%,22%,28%,26%,9%,25%,33%,20%,6%,24%,25%,26%,10%
Net Profit+,609,144,123,266,320,145,49,66,439,395,239,128,394
EPS in Rs,31.42,6.93,6.29,14.02,16.80,7.52,2.45,3.25,23.19,20.95,12.58,6.50,20.63
Raw PDF,,,,,,,,,,,,,
