Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,185,90,108,140,182,104,91,117,396,99,307,173,345
Expenses+,112,62,68,79,89,67,57,63,247,67,239,93,152
Operating Profit,73,28,41,60,93,37,34,54,149,32,68,81,193
OPM %,40%,31%,38%,43%,51%,36%,38%,46%,38%,32%,22%,47%,56%
Other Income+,4,12,11,11,12,12,12,11,11,11,6,3,6
Interest,3,2,2,2,3,3,3,3,3,3,2,2,5
Depreciation,2,3,3,3,7,3,3,3,4,5,6,6,6
Profit before tax,72,35,46,66,95,43,40,59,153,34,66,75,188
Tax %,23%,26%,27%,22%,25%,25%,24%,24%,25%,25%,26%,23%,26%
Net Profit+,55,26,34,51,71,33,30,45,114,26,49,58,138
EPS in Rs,9.89,4.61,6.04,9.10,12.70,5.86,5.41,7.98,20.38,4.55,8.79,10.41,24.72
Raw PDF,,,,,,,,,,,,,
