Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,456","1,423","1,348","1,521","2,135","1,362","1,975","1,529","3,128","2,717","1,643","2,020","1,814"
Expenses+,"1,058","1,027",885,"1,010","1,381","1,134","1,473","1,129","2,150","2,353","1,359","1,630","1,403"
Operating Profit,398,396,462,511,754,229,502,400,978,364,284,390,411
OPM %,27%,28%,34%,34%,35%,17%,25%,26%,31%,13%,17%,19%,23%
Other Income+,120,98,129,122,182,367,206,-94,220,264,854,399,308
Interest,85,85,90,84,98,101,94,94,109,79,63,36,21
Depreciation,36,36,37,38,37,37,38,39,37,34,30,30,48
Profit before tax,397,373,464,512,802,458,577,174,"1,053",515,"1,045",723,649
Tax %,28%,27%,24%,26%,21%,26%,-81%,-154%,17%,26%,26%,-1%,-14%
Net Profit+,570,526,622,656,920,645,"1,381","1,059","1,282",763,"1,180","1,203","1,269"
EPS in Rs,2.30,2.13,2.52,2.65,3.72,2.61,5.58,4.28,5.18,3.08,4.77,4.86,5.12
Raw PDF,,,,,,,,,,,,,
