Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"6,315","6,758","6,903","7,237","7,114","7,696","8,038","8,381","8,528","8,572","8,828","8,753","7,546"
Expenses+,"4,781","4,696","4,894","5,214","5,283","5,566","5,962","6,108","6,530","6,398","6,818","6,866","7,164"
Operating Profit,"1,534","2,062","2,008","2,023","1,831","2,130","2,076","2,273","1,998","2,174","2,010","1,888",382
OPM %,24%,31%,29%,28%,26%,28%,26%,27%,23%,25%,23%,22%,5%
Other Income+,146,178,319,219,201,193,314,154,528,290,330,271,480
Interest,35,37,35,39,59,60,76,82,66,83,91,94,106
Depreciation,316,353,376,374,368,381,397,471,455,476,505,521,557
Profit before tax,"1,329","1,850","1,917","1,829","1,605","1,883","1,917","1,874","2,005","1,905","1,745","1,543",200
Tax %,28%,24%,23%,24%,18%,26%,30%,25%,21%,26%,23%,23%,-11%
Net Profit+,960,"1,405","1,482","1,381","1,310","1,392","1,342","1,404","1,587","1,410","1,337","1,190",221
EPS in Rs,11.53,16.87,17.77,16.56,15.70,16.69,15.05,16.94,19.09,16.99,16.14,14.50,2.65
Raw PDF,,,,,,,,,,,,,
