Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"2,449","2,360","2,445","2,815","3,078","2,877","2,768","3,768","4,481","5,014","5,319","6,321"
Expenses+,"2,189","2,021","2,073","2,392","2,622","2,507","2,413","3,352","3,986","4,434","4,803","5,691"
Operating Profit,260,339,371,423,455,370,355,416,496,581,516,630
OPM %,11%,14%,15%,15%,15%,13%,13%,11%,11%,12%,10%,10%
Other Income+,81,64,100,127,118,172,77,151,198,218,246,238
Interest,14,9,4,1,1,2,1,2,1,2,2,2
Depreciation,64,58,48,44,41,39,39,39,46,44,47,59
Profit before tax,263,336,419,504,532,501,392,527,646,753,714,807
Tax %,25%,26%,25%,29%,35%,20%,28%,23%,22%,24%,24%,23%
Net Profit+,199,249,316,358,344,402,283,405,502,572,544,623
EPS in Rs,12.99,16.27,20.65,23.42,22.50,26.32,18.50,26.46,32.81,37.37,35.60,40.73
Dividend Payout %,14%,15%,15%,17%,20%,21%,30%,23%,21%,21%,22%,22%
