Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,785,"1,209","1,373","1,545","1,537","1,402","1,406","1,384","1,425","1,506","1,487","1,695","1,743"
Expenses+,617,915,"1,049","1,189","1,179","1,137","1,109","1,024","1,077","1,138","1,173","1,260","1,230"
Operating Profit,168,294,324,356,359,264,297,360,348,368,314,435,513
OPM %,21%,24%,24%,23%,23%,19%,21%,26%,24%,24%,21%,26%,29%
Other Income+,-18,38,53,37,42,51,60,58,44,58,84,39,111
Interest,2,5,6,5,10,6,6,23,7,12,8,4,10
Depreciation,38,65,81,105,93,92,94,96,96,101,106,108,109
Profit before tax,111,261,290,283,298,218,257,299,288,313,284,362,506
Tax %,29%,26%,33%,32%,35%,34%,36%,32%,35%,31%,35%,28%,28%
Net Profit+,79,194,194,192,192,144,164,205,187,215,184,261,367
EPS in Rs,4.78,11.79,11.78,11.65,11.68,8.73,9.93,12.42,11.32,13.08,11.15,15.87,22.26
Raw PDF,,,,,,,,,,,,,
