Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"4,642","4,552","4,589","5,837","5,896","5,162","5,129","8,642","10,227","7,930","7,892","7,773"
Expenses+,"4,662","3,989","4,228","4,445","5,022","4,621","4,125","6,259","8,348","7,428","7,277","6,894"
Operating Profit,-21,563,361,"1,392",874,542,"1,003","2,384","1,879",502,615,879
OPM %,-0%,12%,8%,24%,15%,10%,20%,28%,18%,6%,8%,11%
Other Income+,52,252,809,140,215,153,237,209,361,469,501,499
Interest,274,297,203,100,6,5,20,3,5,13,23,6
Depreciation,209,251,251,270,263,264,272,292,303,308,303,307
Profit before tax,-452,268,715,"1,162",819,425,948,"2,298","1,932",651,790,"1,065"
Tax %,0%,35%,27%,32%,10%,-17%,27%,26%,24%,26%,26%,25%
Net Profit+,-443,180,529,795,750,508,697,"1,710","1,472",497,598,808
EPS in Rs,-28.50,11.57,34.02,51.15,48.24,32.69,44.84,110.05,94.68,33.83,40.68,54.99
Dividend Payout %,0%,17%,15%,15%,15%,15%,18%,9%,32%,49%,44%,38%
