Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"2,586","2,331","2,403","2,326","2,497","2,877","2,525","2,688","3,562","4,018","5,611","6,391"
Expenses+,"2,219","2,006","2,149","2,065","2,094","2,284","1,984","2,054","2,759","3,115","4,434","4,806"
Operating Profit,367,324,254,260,403,592,541,633,804,903,"1,177","1,585"
OPM %,14%,14%,11%,11%,16%,21%,21%,24%,23%,22%,21%,25%
Other Income+,32,37,47,73,79,107,119,114,252,328,349,489
Interest,19,10,4,2,1,30,31,34,29,14,12,12
Depreciation,108,107,98,98,99,155,141,145,154,108,124,121
Profit before tax,271,244,199,233,383,514,487,568,873,"1,109","1,390","1,941"
Tax %,33%,30%,31%,32%,32%,25%,23%,23%,21%,20%,23%,21%
Net Profit+,183,170,137,159,260,385,376,438,690,884,"1,072","1,526"
EPS in Rs,11.75,10.88,8.80,10.20,16.69,24.67,24.14,28.08,44.26,56.61,68.72,97.84
Dividend Payout %,23%,25%,30%,26%,16%,32%,33%,33%,33%,33%,46%,51%
