Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,646",936,343,330,"1,426",739,"1,093",969,"2,122",435,740,498,"3,458"
Expenses+,"1,300","1,085",438,397,"1,303",926,"1,064",960,"2,047",705,"1,336",695,"2,936"
Operating Profit,346,-149,-95,-66,123,-187,29,9,75,-270,-596,-197,522
OPM %,21%,-16%,-28%,-20%,9%,-25%,3%,1%,4%,-62%,-80%,-40%,15%
Other Income+,284,379,262,218,526,960,253,271,559,"1,186","1,210",514,434
Interest,54,30,48,43,31,41,45,42,46,33,22,31,52
Depreciation,7,7,7,14,16,17,18,18,21,22,26,32,36
Profit before tax,570,193,111,95,601,716,219,220,567,861,566,255,869
Tax %,20%,31%,35%,34%,20%,28%,-52%,28%,33%,30%,29%,24%,26%
Net Profit+,454,134,73,63,478,519,334,158,378,598,403,194,645
EPS in Rs,14.82,4.49,2.40,2.24,16.95,18.70,12.06,5.40,12.68,19.92,13.45,6.48,21.58
Raw PDF,,,,,,,,,,,,,
