Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"1,135","1,151","1,263","1,431","1,598","1,580","1,638","2,013","2,541","2,687","2,812","3,073"
Expenses+,954,966,"1,070","1,183","1,326","1,315","1,314","1,612","2,040","2,167","2,297","2,500"
Operating Profit,181,184,193,248,272,265,324,400,501,520,515,574
OPM %,16%,16%,15%,17%,17%,17%,20%,20%,20%,19%,18%,19%
Other Income+,17,22,31,26,35,40,51,53,53,67,79,95
Interest,3,2,2,2,2,4,3,4,8,8,9,8
Depreciation,42,43,42,45,45,58,54,53,60,71,93,105
Profit before tax,154,161,180,227,260,243,317,396,486,508,492,555
Tax %,32%,34%,33%,34%,35%,24%,25%,25%,26%,24%,25%,25%
Net Profit+,104,106,121,151,169,184,238,295,362,384,371,417
EPS in Rs,9.32,9.51,10.78,13.53,15.10,16.48,21.60,26.70,32.69,34.65,33.30,37.54
Dividend Payout %,35%,34%,37%,37%,40%,46%,44%,45%,44%,49%,51%,51%
