Metric,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,125",975,801,904,"1,019","1,216","1,505"
Expenses+,575,-40,413,422,415,496,567
Operating Profit,550,"1,014",388,483,603,720,938
OPM %,49%,104%,48%,53%,59%,59%,62%
Other Income+,35,30,49,44,52,45,30
Interest,9,16,16,16,11,10,8
Depreciation,6,7,7,7,7,9,24
Profit before tax,570,"1,022",414,503,638,745,936
Tax %,26%,26%,25%,25%,26%,27%,27%
Net Profit+,420,757,309,378,471,547,686
EPS in Rs,13.51,20.71,1.69,1.81,0.79,0.89,1.09
Raw PDF,,,,,,,
