Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"4,859","4,834","3,900","4,414","5,442","5,806","4,539","4,889","6,544","5,455","4,779","5,588","6,705"
Expenses+,"4,332","4,432","3,527","3,981","4,807","5,234","4,164","4,462","5,787","4,940","4,341","5,072","5,976"
Operating Profit,527,402,373,433,635,572,375,426,757,516,438,516,729
OPM %,11%,8%,10%,10%,12%,10%,8%,9%,12%,9%,9%,9%,11%
Other Income+,47,65,52,56,76,77,93,64,69,69,91,9,310
Interest,10,8,9,10,18,9,10,9,15,9,9,9,10
Depreciation,77,76,81,88,93,92,95,104,110,106,106,109,112
Profit before tax,487,382,335,391,599,549,363,377,701,470,415,408,918
Tax %,26%,25%,26%,26%,25%,26%,26%,26%,26%,26%,23%,26%,21%
Net Profit+,358,287,249,288,447,408,268,278,517,348,318,300,723
EPS in Rs,5.71,4.58,3.97,4.59,7.13,6.51,4.28,4.44,8.26,5.55,5.09,4.80,11.53
Raw PDF,,,,,,,,,,,,,
