Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"2,230","2,634","2,837","3,758","4,977","5,999"
Expenses+,513,641,766,981,"1,343","1,471"
Operating Profit,"1,717","1,993","2,072","2,777","3,635","4,528"
OPM %,77%,76%,73%,74%,73%,75%
Other Income+,4,1,1,3,2,2
Interest,16,14,15,16,19,18
Depreciation,47,51,50,66,85,106
Profit before tax,"1,658","1,929","2,007","2,698","3,533","4,407"
Tax %,25%,25%,24%,24%,25%,25%
Net Profit+,"1,245","1,454","1,516","2,050","2,651","3,298"
EPS in Rs,705.51,823.75,858.70,"1,161.18","1,501.61",66.73
Dividend Payout %,75%,84%,84%,76%,81%,153%
