Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"10,532","10,656","10,716","10,673","10,607","10,508","10,932","11,117","11,015","11,022","11,195","11,323","11,332"
Expenses+,"6,322","6,499","6,435","6,324","6,274","6,304","6,383","6,405","6,356","6,410","6,511","6,506","6,443"
Operating Profit,"4,210","4,156","4,282","4,349","4,333","4,205","4,550","4,712","4,659","4,612","4,684","4,817","4,889"
OPM %,40%,39%,40%,41%,41%,40%,42%,42%,42%,42%,42%,43%,43%
Other Income+,71,21,34,780,32,256,300,250,216,142,140,"1,271","57,595"
Interest,"5,002","6,398","6,569","6,518","6,280","5,519","6,614","5,940","6,471","5,893","4,784","5,828","4,990"
Depreciation,"5,704","5,616","5,667","5,598","5,751","5,369","5,404","5,629","5,571","5,472","5,567","5,550","5,518"
Profit before tax,"-6,424","-7,837","-7,920","-6,987","-7,666","-6,427","-7,168","-6,607","-7,167","-6,611","-5,527","-5,290","51,976"
Tax %,-0%,0%,10%,-0%,0%,0%,0%,0%,0%,-0%,-0%,-0%,0%
Net Profit+,"-6,419","-7,840","-8,738","-6,986","-7,675","-6,432","-7,176","-6,609","-7,167","-6,608","-5,524","-5,286","51,970"
EPS in Rs,-1.32,-1.61,-1.79,-1.44,-1.53,-0.95,-1.03,-0.95,-1.00,-0.61,-0.51,-0.49,4.80
Raw PDF,,,,,,,,,,,,,
