Metric,Mar 2015,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,161,203,388,418,560,759,873,973,"1,491"
Expenses+,139,149,252,252,329,444,478,546,756
Operating Profit,22,54,136,166,231,316,394,427,735
OPM %,14%,27%,35%,40%,41%,42%,45%,44%,49%
Other Income+,0,0,31,16,1,-3,33,15,7
Interest,8,8,7,7,6,5,16,11,12
Depreciation,5,10,36,26,19,20,22,29,37
Profit before tax,8,36,123,148,208,288,390,402,693
Tax %,0%,0%,1%,6%,9%,12%,14%,17%,18%
Net Profit+,8,36,122,139,189,253,337,332,567
EPS in Rs,10.51,44.55,148.09,168.19,11.04,14.83,19.72,19.35,33.00
Dividend Payout %,0%,0%,16%,14%,485%,66%,0%,0%,0%
