Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"3,781","2,764","2,987","2,930","3,787","2,287","2,448","2,613","3,412","1,786","1,977","2,119","3,189"
Expenses+,"3,598","2,513","2,771","2,671","3,470","2,037","2,247","2,481","3,158","1,586","1,836","1,961","2,922"
Operating Profit,183,251,216,259,317,251,201,132,254,200,141,158,267
OPM %,5%,9%,7%,9%,8%,11%,8%,5%,7%,11%,7%,7%,8%
Other Income+,186,64,177,119,107,107,142,86,103,124,156,112,122
Interest,33,33,37,37,41,48,53,56,62,75,85,93,97
Depreciation,36,19,27,27,27,27,28,31,32,37,40,42,44
Profit before tax,301,263,328,314,356,282,262,132,263,212,172,135,248
Tax %,15%,29%,24%,22%,31%,20%,22%,35%,19%,22%,21%,26%,23%
Net Profit+,256,187,251,245,247,224,206,86,212,164,137,100,191
EPS in Rs,2.73,1.99,2.67,2.60,2.62,2.38,2.19,0.92,2.24,1.75,1.47,1.07,2.04
Raw PDF,,,,,,,,,,,,,
