Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Revenue+,"6,194","6,679","6,761","6,737","6,475","6,766","6,900","6,763","6,723","6,915","6,372","6,661","7,336"
Interest,"4,895","5,091","5,181","5,104","4,725","5,155","5,249","5,095","4,996","5,124","4,544","4,812","5,524"
Expenses+,47,29,34,35,34,33,38,39,44,47,49,104,118
Financing Profit,"1,252","1,559","1,546","1,597","1,716","1,578","1,613","1,629","1,683","1,744","1,778","1,746","1,694"
Financing Margin %,20%,23%,23%,24%,26%,23%,23%,24%,25%,25%,28%,26%,23%
Other Income+,36,2,1,3,3,0,1,3,1,3,0,58,-7
Depreciation,3,4,2,1,2,2,1,1,1,1,1,1,2
Profit before tax,"1,285","1,557","1,545","1,599","1,717","1,577","1,613","1,631","1,682","1,746","1,777","1,802","1,684"
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
Net Profit+,"1,285","1,557","1,545","1,599","1,717","1,577","1,613","1,631","1,682","1,746","1,777","1,802","1,684"
EPS in Rs,0.98,1.19,1.18,1.22,1.31,1.21,1.23,1.25,1.29,1.34,1.36,1.38,1.29
Gross NPA %,,,,,,,,,,,,,
Net NPA %,,,,,,,,,,,,,
Raw PDF,,,,,,,,,,,,,
