Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"17,635","17,164","17,774","17,195","17,038","17,778","19,990","18,790","18,765","21,495","19,502","20,047","17,825"
Expenses+,"11,011","10,494","11,320","10,985","10,736","11,233","13,438","12,428","12,246","14,678","12,807","13,165","10,900"
Operating Profit,"6,624","6,670","6,454","6,210","6,302","6,545","6,552","6,362","6,519","6,816","6,695","6,883","6,924"
OPM %,38%,39%,36%,36%,37%,37%,33%,34%,35%,32%,34%,34%,39%
Other Income+,683,722,674,820,868,771,690,803,"15,391",751,739,322,700
Interest,12,10,10,12,11,10,15,10,11,16,20,19,29
Depreciation,461,442,453,384,385,403,416,416,411,423,435,431,422
Profit before tax,"6,833","6,940","6,665","6,635","6,774","6,903","6,811","6,740","21,489","7,128","6,979","6,754","7,173"
Tax %,24%,25%,26%,19%,23%,25%,26%,26%,8%,25%,26%,26%,24%
Net Profit+,"5,243","5,190","4,965","5,407","5,191","5,177","5,054","5,013","19,808","5,343","5,187","5,018","5,470"
EPS in Rs,4.16,4.10,3.93,4.28,4.10,4.08,3.99,3.94,15.76,4.19,4.09,3.94,4.30
Raw PDF,,,,,,,,,,,,,
