Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,18,215,149,134,141,134,383,137,152,134,520,159,135
Expenses+,1,6,22,33,33,33,51,44,45,35,62,44,40
Operating Profit,17,209,127,101,107,101,332,93,106,99,459,115,94
OPM %,94%,97%,85%,75%,76%,75%,87%,68%,70%,74%,88%,72%,70%
Other Income+,3,0,0,0,0,0,0,10,23,0,20,0,0
Interest,0,10,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,3,3,3,3,3,3,3,3,3,3,3,3
Profit before tax,20,196,124,98,104,98,329,101,126,96,475,112,91
Tax %,-16%,26%,28%,28%,25%,27%,7%,25%,23%,26%,4%,35%,12%
Net Profit+,23,145,89,70,78,72,305,75,97,71,456,73,80
EPS in Rs,,,0.14,0.11,0.12,0.11,0.48,0.12,0.15,0.11,0.72,0.12,0.13
Raw PDF,,,,,,,,,,,,,
