Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"2,316","2,635","2,922","3,748","4,316","4,364","4,727","5,420","6,452","6,788","6,193","6,763"
Expenses+,"1,963","2,362","2,552","3,317","3,863","3,566","3,789","4,469","5,613","5,737","5,329","5,762"
Operating Profit,353,273,370,432,454,798,939,951,839,"1,052",864,"1,000"
OPM %,15%,10%,13%,12%,11%,18%,20%,18%,13%,15%,14%,15%
Other Income+,-34,64,129,72,59,16,35,41,58,77,11,93
Interest,94,222,244,264,253,225,192,142,133,150,181,211
Depreciation,115,166,175,207,211,220,225,223,228,246,299,324
Profit before tax,109,-51,79,32,49,369,556,626,534,732,394,559
Tax %,4%,-108%,-10%,-33%,17%,31%,24%,24%,31%,33%,30%,26%
Net Profit+,105,4,87,43,41,253,421,478,369,488,276,413
EPS in Rs,8.75,0.11,7.29,4.69,4.36,21.08,34.45,39.39,30.48,41.47,23.53,33.19
Dividend Payout %,23%,220%,10%,16%,17%,12%,11%,13%,12%,16%,28%,20%
