Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,678","1,587","1,680","1,677","1,759","1,732","1,752","1,822","1,929","1,901","1,966","2,122","2,290"
Expenses+,"1,459","1,419","1,438","1,459","1,487","1,480","1,463","1,535","1,584","1,611","1,625","1,833","1,951"
Operating Profit,219,168,242,218,271,252,289,287,345,290,341,289,339
OPM %,13%,11%,14%,13%,15%,15%,17%,16%,18%,15%,17%,14%,15%
Other Income+,21,9,19,49,-151,410,8,-10,9,12,4,-19,10
Interest,56,62,66,71,73,71,61,56,53,49,50,56,56
Depreciation,271,90,97,95,101,91,91,91,95,98,105,121,117
Profit before tax,-86,25,98,101,-54,500,144,130,206,154,190,93,176
Tax %,16%,76%,37%,34%,15%,4%,29%,23%,27%,34%,37%,40%,32%
Net Profit+,-100,6,62,66,-62,482,102,101,151,102,120,56,119
EPS in Rs,-6.15,0.40,3.92,4.19,-3.68,30.26,6.45,6.33,9.64,6.46,7.55,3.51,7.50
Raw PDF,,,,,,,,,,,,,
