Metric,Dec 2014,Dec 2015,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 202315m,Mar 2024,Mar 2025,Mar 2026
Sales+,"1,491","1,567","1,825","2,033","2,192","1,762","1,471","2,112","3,136","2,769","2,485","2,531"
Expenses+,"1,214","1,337","1,539","1,705","1,866","1,347","1,096","1,564","2,371","2,066","1,720","1,622"
Operating Profit,277,230,287,328,326,415,375,548,765,702,765,909
OPM %,19%,15%,16%,16%,15%,24%,25%,26%,24%,25%,31%,36%
Other Income+,11,22,34,11,23,862,44,348,109,77,68,67
Interest,103,90,116,116,103,86,6,3,6,7,13,14
Depreciation,181,162,195,206,199,177,176,181,253,201,214,235
Profit before tax,4,1,10,16,47,"1,013",236,711,614,571,606,727
Tax %,-51%,"-4,164%",-31%,-17%,29%,28%,34%,28%,13%,25%,26%,24%
Net Profit+,5,23,13,19,33,727,156,514,536,426,448,551
EPS in Rs,0.63,2.75,1.57,2.22,3.93,85.27,18.24,60.26,62.82,49.99,52.51,64.59
Dividend Payout %,237%,27%,48%,45%,38%,12%,16%,22%,19%,24%,23%,19%
