Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,709,725,766,784,780,813,867,870,905,915,940,906,938
Expenses+,584,598,642,651,655,689,724,729,767,777,795,754,787
Operating Profit,126,127,123,134,125,124,143,141,139,137,146,152,151
OPM %,18%,18%,16%,17%,16%,15%,16%,16%,15%,15%,15%,17%,16%
Other Income+,-0,2,1,3,5,4,17,13,-5,11,15,14,0
Interest,9,9,13,13,9,9,11,12,10,9,9,7,7
Depreciation,20,20,21,22,27,20,20,17,19,18,18,18,18
Profit before tax,96,100,90,102,94,99,129,126,106,121,134,141,125
Tax %,25%,27%,28%,24%,-1%,28%,0%,25%,23%,24%,27%,23%,15%
Net Profit+,73,74,65,78,94,72,129,95,81,92,97,108,106
EPS in Rs,23.77,22.91,20.50,24.56,29.85,23.18,41.68,30.67,26.20,29.75,31.46,34.96,34.24
Raw PDF,,,,,,,,,,,,,
