Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,456,475,545,647,761,856,998,"1,228","1,148","1,208","1,331","1,646"
Expenses+,339,359,405,467,559,619,708,880,855,920,"1,023","1,245"
Operating Profit,117,116,140,181,203,237,290,348,293,288,308,401
OPM %,26%,24%,26%,28%,27%,28%,29%,28%,26%,24%,23%,24%
Other Income+,7,29,39,6,8,-17,12,34,15,9,15,17
Interest,2,2,2,4,4,13,12,25,32,28,24,25
Depreciation,21,17,17,19,20,39,46,63,89,94,109,134
Profit before tax,101,128,160,164,187,169,244,293,188,175,191,259
Tax %,33%,36%,33%,32%,34%,24%,25%,27%,24%,26%,24%,26%
Net Profit+,68,82,107,112,124,128,183,215,143,128,146,191
EPS in Rs,15.44,20.10,26.61,27.29,5.99,6.29,8.95,10.46,6.98,6.24,7.00,9.17
Dividend Payout %,-0%,100%,49%,-0%,55%,32%,22%,19%,29%,16%,-0%,55%
