Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"2,095","2,078","2,034","2,233","2,791","2,972","2,153","3,560","6,299","6,245","6,924","8,240"
Expenses+,"1,605","1,569","1,390","1,453","1,906","1,919","1,219","2,636","5,115","4,402","5,414","6,789"
Operating Profit,490,509,644,780,885,"1,053",934,924,"1,184","1,843","1,510","1,451"
OPM %,23%,24%,32%,35%,32%,35%,43%,26%,19%,30%,22%,18%
Other Income+,41,47,53,58,78,99,81,86,112,175,184,119
Interest,1,2,1,0,0,7,7,8,9,12,13,21
Depreciation,80,83,95,111,126,162,174,196,231,274,306,409
Profit before tax,449,472,601,727,837,984,834,806,"1,056","1,733","1,374","1,141"
Tax %,33%,34%,34%,34%,35%,19%,26%,26%,25%,26%,24%,26%
Net Profit+,301,311,393,478,546,794,620,597,790,"1,289","1,045",847
EPS in Rs,33.69,34.80,39.83,48.38,55.32,80.33,62.72,60.43,79.98,130.50,105.78,85.73
Dividend Payout %,52%,50%,48%,39%,36%,44%,37%,41%,20%,23%,28%,35%
