Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"57,398","39,730","43,767","49,055","63,446","50,230","31,959","69,758","109,026","90,407","94,682","88,667"
Expenses+,"59,565","38,021","38,775","44,526","60,816","53,368","31,252","64,814","102,498","82,550","92,375","82,432"
Operating Profit,"-2,167","1,709","4,992","4,529","2,630","-3,137",708,"4,944","6,528","7,857","2,306","6,235"
OPM %,-4%,4%,11%,9%,4%,-6%,2%,7%,6%,9%,2%,7%
Other Income+,841,674,"2,015",223,130,70,90,67,213,42,175,207
Interest,448,"1,083",969,915,"1,062","1,251",558,"1,212","1,298","1,119","1,016",907
Depreciation,522,"1,013",984,966,"1,048","1,086","1,158","1,088","1,187","1,257","1,347","1,520"
Profit before tax,"-2,295",287,"5,054","2,871",651,"-5,404",-919,"2,711","4,256","5,523",119,"4,015"
Tax %,-19%,-77%,35%,38%,46%,-25%,-17%,-9%,38%,35%,53%,52%
Net Profit+,"-1,853",506,"3,293","1,774",351,"-4,043",-765,"2,958","2,655","3,597",56,"1,925"
EPS in Rs,-10.29,4.70,19.81,11.37,1.94,-19.14,-4.36,16.88,15.15,20.52,0.32,10.98
Dividend Payout %,0%,0%,30%,26%,52%,0%,0%,0%,0%,15%,0%,36%
