Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,407,363,418,393,385,440,311,398,328,293,514,440,776
Expenses+,287,266,280,272,278,316,249,311,277,258,359,363,469
Operating Profit,120,97,137,121,107,123,62,87,51,34,156,77,307
OPM %,29%,27%,33%,31%,28%,28%,20%,22%,16%,12%,30%,18%,40%
Other Income+,8,2,3,2,5,25,4,60,7,8,2,8,12
Interest,4,2,4,4,4,3,1,2,2,5,5,7,7
Depreciation,13,14,15,15,16,16,16,16,17,20,23,24,25
Profit before tax,110,83,122,104,92,130,49,128,39,18,129,54,287
Tax %,23%,26%,27%,22%,27%,25%,34%,20%,29%,21%,25%,26%,26%
Net Profit+,85,62,89,81,68,98,33,102,28,14,97,41,213
EPS in Rs,65.89,48.23,69.56,63.44,52.66,76.28,25.60,79.18,21.68,10.83,75.49,31.62,165.76
Raw PDF,,,,,,,,,,,,,
