Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"7,852","6,208","7,497","9,614","9,147","8,120","7,247","8,337","8,808","7,929","8,394","8,330","9,293"
Expenses+,"4,549","3,932","4,027","6,171","5,886","4,978","4,711","5,795","6,220","5,578","6,091","6,043","6,012"
Operating Profit,"3,303","2,277","3,469","3,443","3,261","3,142","2,536","2,542","2,588","2,351","2,303","2,287","3,281"
OPM %,42%,37%,46%,36%,36%,39%,35%,30%,29%,30%,27%,27%,35%
Other Income+,173,259,"-1,983",635,578,355,977,302,382,980,721,657,919
Interest,153,214,279,236,234,242,280,304,244,199,305,319,381
Depreciation,438,478,499,576,576,553,608,624,533,627,671,715,699
Profit before tax,"2,885","1,843",708,"3,266","3,028","2,701","2,626","1,917","2,193","2,505","2,048","1,910","3,119"
Tax %,31%,24%,10%,20%,23%,25%,21%,24%,32%,18%,20%,25%,22%
Net Profit+,"1,980","1,399",640,"2,608","2,333","2,016","2,069","1,457","1,497","2,047","1,644","1,436","2,424"
EPS in Rs,10.71,8.77,2.59,14.43,13.16,11.59,12.40,8.23,8.05,11.66,8.78,7.35,12.91
Raw PDF,,,,,,,,,,,,,
