Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,143","1,305","2,000","1,546","1,256","1,191","1,622","1,717","1,230","1,469","1,823","1,850","1,547"
Expenses+,879,952,"1,293","1,074",978,939,"1,143","1,190",941,"1,072","1,212","1,225","1,096"
Operating Profit,264,352,707,472,278,252,479,528,289,397,612,625,452
OPM %,23%,27%,35%,31%,22%,21%,30%,31%,24%,27%,34%,34%,29%
Other Income+,11,25,24,59,49,29,42,42,54,32,36,-9,244
Interest,189,194,200,197,200,204,206,203,196,191,188,180,173
Depreciation,296,291,309,317,303,314,329,320,316,308,317,316,330
Profit before tax,-210,-108,222,18,-175,-238,-15,46,-168,-70,142,119,192
Tax %,59%,-24%,25%,27%,-26%,-25%,-18%,23%,-25%,-22%,26%,20%,3%
Net Profit+,-334,-82,166,13,-130,-179,-12,36,-125,-54,106,95,186
EPS in Rs,-34.03,-8.33,16.95,1.30,-13.20,-18.21,-1.20,3.66,-12.73,-5.50,10.76,9.75,19.01
Raw PDF,,,,,,,,,,,,,
