Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"2,573","2,247","2,341","2,111","2,678","2,094","2,044","1,983","2,397","2,074","2,239","2,106","2,610"
Expenses+,"2,161","1,903","1,935","1,714","2,259","1,773","1,730","1,704","2,078","1,676","1,851","1,826","2,240"
Operating Profit,412,343,406,397,419,320,314,279,319,398,388,280,371
OPM %,16%,15%,17%,19%,16%,15%,15%,14%,13%,19%,17%,13%,14%
Other Income+,11,7,12,7,14,8,10,199,23,6,7,496,86
Interest,77,93,117,102,104,113,120,113,113,105,111,108,95
Depreciation,141,150,163,180,154,168,170,175,183,184,183,185,188
Profit before tax,205,108,138,121,175,48,34,191,46,115,100,483,173
Tax %,26%,27%,27%,31%,26%,27%,27%,4%,46%,27%,24%,20%,15%
Net Profit+,151,74,72,82,129,37,26,182,26,85,78,386,151
EPS in Rs,6.38,3.15,3.05,3.58,5.46,1.57,1.09,7.72,1.16,3.60,3.27,16.32,6.38
Raw PDF,,,,,,,,,,,,,
