Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Revenue+,"1,953","2,744","3,713","4,508","6,301","8,514","8,329","8,176","9,677","12,394","14,039","14,336"
Interest,"1,397","1,925","2,492","2,741","3,761","4,885","4,541","4,149","4,678","6,351","7,576","7,976"
Expenses+,627,833,"1,234","1,781","2,561","4,649","4,824","6,318","6,111","7,619","9,382","9,441"
Financing Profit,-70,-14,-12,-15,-21,"-1,019","-1,037","-2,292","-1,113","-1,576","-2,919","-3,082"
Financing Margin %,-4%,-1%,-0%,-0%,-0%,-12%,-12%,-28%,-12%,-13%,-21%,-22%
Other Income+,403,491,755,"1,068","1,442","1,910","1,884","2,341","2,489","3,043","3,806","4,121"
Depreciation,33,48,62,87,122,138,158,164,196,215,219,0
Profit before tax,300,428,681,967,"1,299",753,689,-115,"1,180","1,252",668,"1,040"
Tax %,31%,32%,35%,34%,33%,33%,26%,-35%,25%,7%,-4%,21%
Net Profit+,207,292,446,635,867,506,508,-75,883,"1,168",695,822
EPS in Rs,7.06,9.01,11.89,15.13,20.32,9.94,8.49,-1.25,14.72,19.30,11.44,13.31
Dividend Payout %,17%,17%,15%,14%,13%,15%,0%,0%,10%,8%,9%,8%
