Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,263,331,400,394,631,"1,074","1,306"
Expenses+,173,220,360,375,557,803,995
Operating Profit,90,111,40,18,73,271,311
OPM %,34%,34%,10%,5%,12%,25%,24%
Other Income+,18,11,17,25,26,19,11
Interest,6,9,9,19,31,34,31
Depreciation,18,28,32,36,35,32,38
Profit before tax,84,85,17,-11,34,223,253
Tax %,29%,38%,1%,53%,29%,25%,26%
Net Profit+,59,53,17,-17,24,168,188
EPS in Rs,116.53,104.46,32.90,-33.31,1.60,10.87,11.40
Dividend Payout %,2%,0%,0%,-2%,1%,0%,13%
