Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,836,"1,039","1,172","1,374","1,262","1,351","1,745","2,099","2,548","2,719","3,098"
Expenses+,694,876,936,"1,105","1,057","1,104","1,441","1,739","2,098","2,246","2,532"
Operating Profit,142,164,236,269,205,247,304,360,450,473,566
OPM %,17%,16%,20%,20%,16%,18%,17%,17%,18%,17%,18%
Other Income+,12,6,13,17,18,17,17,10,2,20,39
Interest,29,30,40,46,51,43,46,53,66,61,24
Depreciation,31,44,54,62,81,88,103,114,130,154,182
Profit before tax,94,96,155,178,90,132,172,203,256,278,399
Tax %,24%,33%,34%,37%,9%,26%,25%,26%,26%,26%,25%
Net Profit+,72,64,103,112,82,98,128,150,190,206,298
EPS in Rs,"11,091.19","9,845.44","15,902.63",23.90,17.51,20.85,24.57,28.38,35.43,33.26,47.84
Dividend Payout %,0%,0%,0%,0%,0%,0%,8%,9%,8%,10%,8%
