Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,694","1,829","1,854","1,875","1,873","2,107","2,116","2,136","2,174","2,353","2,435","2,724","2,586"
Expenses+,"1,379","1,487","1,513","1,550","1,543","1,731","1,748","1,766","1,782","1,922","1,979","2,240","2,107"
Operating Profit,315,342,340,324,330,376,369,370,393,430,456,484,478
OPM %,19%,19%,18%,17%,18%,18%,17%,17%,18%,18%,19%,18%,18%
Other Income+,33,31,31,26,31,25,28,35,34,43,28,43,42
Interest,1,1,2,1,1,2,1,1,2,1,1,2,1
Depreciation,52,54,56,60,62,68,73,78,83,81,88,92,90
Profit before tax,294,318,313,288,298,332,322,326,342,391,395,434,429
Tax %,25%,25%,26%,27%,26%,26%,27%,27%,26%,27%,27%,26%,26%
Net Profit+,219,237,233,210,220,245,236,237,252,287,289,322,316
EPS in Rs,14.03,15.18,14.89,13.41,14.06,15.70,15.13,15.18,16.10,18.37,18.51,20.62,20.22
Raw PDF,,,,,,,,,,,,,
