Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,"4,217","4,595","3,757","3,697","3,578","3,464","1,749","2,519","4,022","4,317","4,628","5,043"
Expenses+,"3,948","4,415","3,629","3,546","3,332","2,912","1,705","2,249","3,327","3,600","3,919","4,299"
Operating Profit,269,180,128,151,246,552,44,270,695,717,708,744
OPM %,6%,4%,3%,4%,7%,16%,3%,11%,17%,17%,15%,15%
Other Income+,13,28,18,232,18,24,224,194,55,49,54,33
Interest,78,85,86,38,14,197,223,207,209,225,261,289
Depreciation,125,130,119,115,141,450,392,355,382,437,494,541
Profit before tax,78,-7,-58,231,110,-72,-347,-98,159,104,7,-53
Tax %,37%,482%,35%,8%,41%,98%,-23%,-53%,27%,26%,-55%,-32%
Net Profit+,49,-40,-78,214,65,-142,-267,-47,116,77,11,-36
EPS in Rs,4.09,0.23,-3.59,22.34,5.94,-12.98,-24.43,-4.29,10.58,7.03,0.99,-3.28
Dividend Payout %,15%,260%,-17%,3%,10%,0%,0%,0%,0%,0%,0%,0%
