Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,860,"1,107","1,201","1,423","1,826","2,012","2,179","2,601","3,194","3,203","3,373","3,424"
Expenses+,579,727,816,950,"1,290","1,395","1,504","1,861","2,252","2,322","2,453","2,609"
Operating Profit,281,380,385,473,536,617,676,741,942,881,920,815
OPM %,33%,34%,32%,33%,29%,31%,31%,28%,29%,28%,27%,24%
Other Income+,12,6,94,53,75,153,94,75,63,74,100,-6
Interest,8,8,18,23,32,35,28,24,45,30,31,26
Depreciation,81,97,114,131,164,219,274,310,359,369,367,387
Profit before tax,204,281,346,372,414,516,467,482,601,557,622,395
Tax %,14%,14%,17%,18%,20%,20%,14%,18%,21%,16%,25%,23%
Net Profit+,175,241,287,305,331,412,404,394,473,466,468,305
EPS in Rs,4.38,6.02,7.18,7.63,8.27,10.29,10.09,9.83,11.78,11.60,11.63,7.57
Dividend Payout %,239%,8%,7%,7%,3%,0%,0%,10%,11%,11%,11%,17%
