Metric,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
Sales+,870,833,911,"1,009","1,003","1,006","1,002","1,001","1,000","1,024","1,041","1,078","1,121"
Expenses+,718,667,729,812,810,845,814,825,837,861,877,901,931
Operating Profit,151,166,182,197,193,160,189,175,163,163,164,177,191
OPM %,17%,20%,20%,20%,19%,16%,19%,18%,16%,16%,16%,16%,17%
Other Income+,6,5,5,6,5,26,10,10,9,11,12,9,8
Interest,0,0,1,2,2,2,2,2,1,1,1,1,1
Depreciation,12,15,16,23,23,23,23,23,25,27,27,30,32
Profit before tax,145,156,170,179,173,162,174,161,147,146,147,156,165
Tax %,20%,23%,20%,20%,19%,20%,19%,19%,19%,20%,20%,20%,20%
Net Profit+,117,120,135,143,140,130,141,130,119,117,118,125,131
EPS in Rs,8.58,8.95,10.07,10.60,10.42,9.69,10.50,9.68,8.80,8.72,8.80,9.43,9.91
Raw PDF,,,,,,,,,,,,,
