Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,402","1,258","1,269","1,289","1,301","1,269","1,296","1,317","1,286","1,244","1,323","1,366","1,572"
Expenses+,"1,160","1,007","1,055","1,053","1,061","1,038","1,061","1,083","1,052","1,044","1,116","1,173","1,320"
Operating Profit,243,250,214,237,240,231,236,234,233,200,208,193,252
OPM %,17%,20%,17%,18%,18%,18%,18%,18%,18%,16%,16%,14%,16%
Other Income+,47,31,30,31,24,23,16,28,61,68,54,-125,94
Interest,5,5,5,5,4,5,5,6,5,5,5,9,16
Depreciation,25,24,26,27,29,30,30,30,31,31,31,36,47
Profit before tax,260,253,213,235,231,220,217,226,258,233,226,23,283
Tax %,17%,24%,25%,28%,32%,26%,28%,25%,27%,27%,27%,71%,28%
Net Profit+,217,192,160,170,157,162,157,169,189,170,166,7,204
EPS in Rs,5.34,4.72,3.95,4.20,3.88,3.99,3.88,4.16,4.66,4.20,4.08,0.16,5.03
Raw PDF,,,,,,,,,,,,,
