Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,281,345,352,327,369,418,451,422,446,511,568,784,814
Expenses+,245,278,283,271,304,340,375,367,381,437,479,684,709
Operating Profit,36,67,70,56,66,79,75,55,65,74,88,100,105
OPM %,13%,19%,20%,17%,18%,19%,17%,13%,15%,14%,16%,13%,13%
Other Income+,6,-4,1,12,7,15,15,20,25,20,15,7,13
Interest,2,2,2,3,4,6,6,6,5,5,9,15,15
Depreciation,7,6,7,8,15,12,13,13,14,14,16,26,30
Profit before tax,34,54,62,57,53,76,71,57,71,75,78,66,74
Tax %,16%,13%,10%,11%,13%,19%,16%,12%,17%,16%,14%,19%,18%
Net Profit+,28,47,56,51,46,61,60,50,59,63,68,54,60
EPS in Rs,2.57,4.59,5.41,4.93,4.47,5.61,5.53,4.60,5.43,5.80,6.22,4.94,5.53
Raw PDF,,,,,,,,,,,,,
