Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,974,911,935,955,"1,052",903,"1,057",902,"1,006",679,799,832,875
Expenses+,882,805,821,844,935,806,932,809,987,615,725,741,783
Operating Profit,92,106,115,111,118,97,125,94,18,64,74,91,92
OPM %,9%,12%,12%,12%,11%,11%,12%,10%,2%,9%,9%,11%,11%
Other Income+,7,4,7,14,12,12,10,23,-128,11,14,-0,14
Interest,22,19,20,18,16,13,17,21,22,18,18,18,17
Depreciation,6,7,7,7,7,7,8,6,8,12,12,13,14
Profit before tax,70,84,95,100,108,90,111,89,-140,45,57,60,75
Tax %,31%,27%,25%,25%,27%,26%,27%,29%,-12%,32%,35%,25%,28%
Net Profit+,48,62,71,75,79,67,81,63,-124,31,37,45,54
EPS in Rs,4.03,5.17,5.55,5.56,5.86,4.98,5.99,4.66,-9.09,2.29,2.74,3.35,4.01
Raw PDF,,,,,,,,,,,,,
