Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales+,651,713,745,751,840,818,703,852,"1,248","1,654","2,006","2,181"
Expenses+,526,553,577,594,687,660,553,692,"1,012","1,333","1,566","1,732"
Operating Profit,125,160,168,157,153,158,149,161,235,321,439,449
OPM %,19%,22%,23%,21%,18%,19%,21%,19%,19%,19%,22%,21%
Other Income+,30,25,33,8,19,24,6,227,43,62,81,61
Interest,4,2,2,2,3,5,3,3,3,5,6,3
Depreciation,16,15,15,19,20,20,20,20,20,21,26,34
Profit before tax,136,167,185,144,149,156,132,365,256,358,489,473
Tax %,32%,32%,33%,33%,33%,22%,22%,26%,25%,25%,27%,26%
Net Profit+,93,113,124,96,100,122,102,270,193,269,359,349
EPS in Rs,2.74,3.42,3.74,2.91,3.10,3.77,3.17,8.36,6.06,8.47,11.24,11.00
Dividend Payout %,31%,32%,32%,34%,0%,13%,38%,23%,0%,43%,36%,41%
