Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"23,190","22,831","22,516","22,205","22,208","21,964","22,302","22,319","22,504","22,135","22,697","23,556","24,236"
Expenses+,"18,671","18,627","18,546","18,007","17,828","17,614","17,798","17,779","17,880","17,902","18,325","19,259","19,327"
Operating Profit,"4,519","4,204","3,970","4,198","4,381","4,350","4,503","4,540","4,624","4,233","4,372","4,296","4,909"
OPM %,19%,18%,18%,19%,20%,20%,20%,20%,21%,19%,19%,18%,20%
Other Income+,632,640,740,598,653,730,962,"1,005","1,217","1,072",963,"1,008",857
Interest,286,309,303,312,331,329,357,415,377,361,361,366,370
Depreciation,847,738,897,932,840,729,831,676,722,686,692,805,728
Profit before tax,"4,018","3,798","3,509","3,552","3,862","4,022","4,278","4,453","4,743","4,258","4,282","4,134","4,668"
Tax %,23%,24%,24%,24%,26%,24%,25%,24%,24%,22%,24%,24%,25%
Net Profit+,"3,094","2,886","2,667","2,701","2,858","3,037","3,227","3,367","3,588","3,336","3,262","3,145","3,522"
EPS in Rs,2.80,2.61,2.53,2.58,2.71,2.87,3.07,3.20,3.41,3.18,3.10,2.97,3.34
Raw PDF,,,,,,,,,,,,,
