Metric,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales+,"1,213","1,227","1,241","1,204","1,230","1,288","1,308","1,326","1,359","1,385","1,421","1,431","1,450"
Expenses+,"1,037",997,"1,010",996,"1,027","1,092","1,107","1,119","1,146","1,174","1,201","1,181","1,215"
Operating Profit,176,230,231,208,203,196,201,207,212,211,220,250,236
OPM %,14%,19%,19%,17%,17%,15%,15%,16%,16%,15%,15%,17%,16%
Other Income+,27,28,36,42,52,42,41,31,46,57,49,38,66
Interest,6,6,6,6,3,4,4,4,5,4,4,2,2
Depreciation,35,42,37,31,24,25,30,24,24,23,25,20,23
Profit before tax,162,210,225,212,229,210,208,210,230,241,240,265,276
Tax %,26%,26%,23%,24%,24%,25%,25%,24%,23%,24%,24%,25%,24%
Net Profit+,119,156,174,162,173,158,156,160,176,182,182,200,211
EPS in Rs,5.27,6.90,7.68,7.14,7.65,6.97,6.86,7.04,7.77,8.01,8.01,8.79,9.26
Raw PDF,,,,,,,,,,,,,
